SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 
51.72,11.6,5.33,0.07,2.98,8.96,1.32,2.01,0.69,0.27
64.39,13.08,4.66,0.07,2.74,3.03,1.06,1.76,0.85,0.09
64.29,12.87,4.6,0.08,2.45,2.99,1.95,1.43,0.83,0.07
53.44,11.2,4.14,0.06,3.13,8.14,2.68,1.7,0.61,0.07
65.89,13.19,4.74,0.12,2.4,1.78,0.9,2.1,0.92,0.1
61.24,14.22,5.17,0.07,3.97,1.73,2.57,1.1,1,0.06
58.55,13.05,4.97,0.06,2.98,5.14,2.39,1.26,0.9,0.06
61.57,12.28,4.98,0.09,3.08,4.36,3.17,1.65,0.9,0.09
67.87,12.36,4.56,0.08,2.14,1.90,1.81,2.29,0.81,0.29
57.68,11.67,5.93,0.08,2.93,6.51,1.25,1.55,1.01,0.16
62.1,12.83,4.59,0.08,2.37,2.36,1.38,2.17,0.81,0.1
61.81,11.37,4.04,0.07,2.23,3.63,1.31,2.07,0.81,0.16
60.45,12.68,4.87,0.08,2.31,2.93,1,2.22,0.82,0.1
58.47,11.42,4.03,0.05,2.32,6.36,1.4,1.9,0.69,0.07
62.08,11.93,4.43,0.07,2.36,4.07,1.44,1.66,0.82,0.08
57.67,12.43,4.81,0.07,2.72,3.87,2.56,1.76,0.8,0.09
57.55,12.8,5.26,0.08,3.24,4.18,1.24,2.16,0.79,0.07
65.73,10.98,3.91,0.08,2.07,3.17,1.49,1.67,0.79,0.09
58.44,12.43,4.78,0.07,3.15,4.13,2.14,1.66,0.82,0.11
56.05,11.78,5.36,0.07,3.47,4.42,3.39,1.66,0.94,0.09
63.23,13.49,5.07,0.09,2.5,1.89,1.27,2.07,0.86,0.06
64.87,12.42,5.35,0.07,2.37,3.68,1.57,2.05,0.77,0.17
68.84,13.01,4.10,0.07,1.78,2.04,1.99,2.22,0.68,0.17
65.41,12.48,5.21,0.08,2.38,2.92,1.48,1.84,0.79,0.28
58.18,13.97,5.24,0.07,2.78,2.72,1.76,2.16,0.81,0.09
59.73,12.69,4.92,0.08,2.69,3.41,1.16,2.42,0.75,0.2
60.69,12.13,4.58,0.07,2.5,4,1.77,1.92,0.8,0.08
54.24,12.32,4.89,0.07,2.57,6.42,1.27,1.77,0.81,0.08
62.57,10.66,3.53,0.05,2.19,4.11,1.89,1.84,0.76,0.05
62.17,11.87,4.25,0.06,2.52,3.1,1.46,2.05,0.79,0.07
64,10.65,3.49,0.06,2.17,4.61,1.21,1.66,0.69,0.06
59.29,10.73,3.97,0.06,2.4,6.3,1.29,1.62,0.74,0.07
57.14,14.62,6.55,0.08,3,2.34,1.23,2.12,1.02,0.07
60.28,13.23,4.95,0.08,2.59,3.29,1.08,2.42,0.78,0.08
67.96,13.80,4.59,0.07,2.05,1.81,2.20,2.34,0.67,0.10
66.21,13.82,4.78,0.08,2.27,2.26,1.90,1.97,0.74,0.12
67.87,11.95,4.19,0.07,2.23,2.90,1.83,1.85,0.65,0.28
61.70,13.79,7.15,0.09,3.74,2.43,1.38,1.83,0.92,0.15
60.21,13.18,5.35,0.08,2.71,3.15,1.5,2.2,0.85,0.09
60.5,12.54,5.15,0.07,2.53,3.7,2.14,1.84,0.96,0.09
56.06,13.15,5.74,0.08,2.58,5.07,1.51,1.45,1.01,0.07
57.34,13.43,5.69,0.07,2.64,5.21,1.53,1.36,0.86,0.1
45.99,10.98,4.61,0.06,2.73,13.09,1.55,1.15,0.7,0.09
59.02,11.97,4.42,0.07,2.25,5.93,1.21,1.68,0.78,0.09
56.58,16.91,6.27,0.07,2.97,2.47,1.2,2.94,0.88,0.07
53.63,14.47,5.06,0.06,2.8,5.75,1.78,2.27,0.82,0.07
61.03,14.89,5.38,0.08,2.73,2.79,0.86,2.39,0.8,0.06
63.20,12.98,5.32,0.08,2.94,3.33,1.59,2.32,0.74,0.22
66.91,13.32,4.68,0.07,2.39,1.92,1.68,2.13,0.73,0.13
66.83,13.46,4.83,0.07,2.22,2.50,1.69,1.76,0.76,0.09
61.26,13.89,6.70,0.08,3.15,3.40,1.39,1.72,0.93,0.14
59.86,12.93,4.27,0.06,2.49,3.48,5.18,1.92,0.89,0.08
60.21,13.38,6.18,0.09,2.88,2.83,1.6,2.09,0.96,0.18
62.35,14.32,5.99,0.08,2.66,1.88,1.55,1.72,0.95,0.08
61.27,13.67,4.91,0.08,2.63,2.58,2.73,1.25,0.89,0.09
58.64,13.97,5.41,0.09,3.14,3.58,1.88,1.92,0.86,0.07
57.02,14.59,5.27,0.07,2.69,4.13,1.69,2.04,0.86,0.07
