SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,Sn,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
67.05,12.59,5.39,0.08,2.64,2.38,1.32,2.12,0.79,0.09,312,17,12,98,9,23,42,14,85,145,32,346,18,133,21,54,1.8793,1.2363,2.574,38.0216,77.1744,8.5264,34.3373,6.5825,1.2871,5.8466,1.0476,5.9005,1.1297,3.5452,0.5421,3.6087,0.5258,9.4884,0.5
61.29,13.48,9.57,0.11,3.56,2.85,0.08,2.24,1.33,0.27,353,24,18,125,38,19,71,22,103,121,57,402,16,134,82,101,3.12,1.92,2.58,94.51,171.37,20.9,83.42,16.29,2.2,13.34,2.16,10.62,1.77,5.14,0.73,4.7,0.72,13.31,0.5
54.85,13.84,9.69,0.12,4.75,4.53,1.6,2.21,1.44,0.16,392,20,16,133,19,22,80,32,83,126,35,296,17,197,58,122,2.189,3.362,2.394,95.24,183.1,21.06,85.58,16.78,3.03,14.1,2.208,10.93,1.775,5.042,0.709,4.387,0.598,9.905,1
52.72,12.53,8.47,0.1,5.49,5.55,1.39,1.77,1.06,0.15,348,19,17,113,15,24,64,29,87,130,39,276,14,137,57,85,2.144,2.94,2.124,99.38,185.4,20.92,81.18,15.07,2.357,12.78,1.954,9.696,1.588,4.457,0.62,3.941,0.519,8.383,2
55.9,12.83,8.65,0.1,6.62,3.26,0.07,2.16,1.04,0.18,256,17,16,117,24,23,57,22,106,112,43,352,18,128,49,87,2.92,2.14,2.98,100.18,180.56,21.86,86.73,16.21,2.29,13.18,2.11,10.2,1.73,5.26,0.77,4.79,0.7,13.45,0.5
53.78,15.14,8.11,0.1,4.29,3.62,1.35,3.54,1.02,0.28,356,27,14,103,17,27,55,22,136,137,34,342,16,135,50,87,2.5388,1.959,3.1468,49.9018,90.4345,10.6343,43.1728,7.9226,1.6499,7.1497,1.2864,8.1697,1.4946,5.1021,0.7348,4.8356,0.6809,13.7208,4
59.27,14.66,7.11,0.09,3.41,2.73,1.26,2.73,0.89,0.14,335,18,13,100,14,30,53,18,115,151,42,359,25,130,42,78,2.3993,1.4383,2.3803,60.7723,113.7548,13.5116,52.7572,10.3437,1.9739,8.6881,1.6373,9.0339,1.7498,5.0379,0.843,5.3834,0.8038,14.4082,0.5
65.17,10.26,6.5,0.09,3.35,4.23,0.04,1.78,0.84,0.16,285,17,17,79,18,22,45,13,112,170,35,294,12,84,30,68,3.06,1.69,2.94,60.35,112.05,13.31,53.48,10.37,1.8,9.02,1.58,8.72,1.65,5.07,0.74,4.92,0.76,11.68,0.5
59.92,12.04,7.54,0.1,3.56,3.25,1.38,1.44,0.92,0.16,372,18,14,106,8,25,79,27,84,155,36,363,20,212,44,71,2.426,2.496,3.956,44.68,84.63,9.986,40.79,8.074,1.59,7.251,1.299,7.773,1.468,4.472,0.7,4.54,0.631,11.57,0.5
57.94,11.63,10.32,0.13,4.23,3.8,1.15,1.35,1.44,0.08,370,19,16,152,8,38,98,30,78,101,41,381,25,234,54,104,1.787,3.195,2.803,51.89,95.53,12.16,50.41,10.14,2.345,9.015,1.59,9.194,1.724,5.131,0.797,5.231,0.74,12.69,1
60.71,12.6,7.18,0.09,2.84,3.49,1.31,1.87,0.93,0.09,351,20,15,111,15,21,60,21,127,141,35,295,24,150,45,72,2.577,2.267,3.383,60.38,105.2,12.38,47.33,8.817,1.663,7.703,1.271,7.025,1.321,4.05,0.586,3.82,0.544,9.264,1
64.95,10.39,5.69,0.09,2.88,3.97,2.14,1.47,0.86,0.09,367,19,11,87,8,23,60,19,79,186,38,398,21,162,24,61,2.357,2.149,3.06,34.67,65.49,8.099,33.81,7.285,1.578,6.709,1.263,7.559,1.47,4.528,0.735,4.445,0.662,11.94,0.5
70.63,11.72,6.6,0.09,2.17,1.57,0.07,1.79,0.76,0.08,329,22,13,100,13,29,51,18,116,133,30,258,14,110,37,69,2.12,1.5,2.58,45.42,84.4,9.67,38.67,7.34,1.44,6.47,1.15,6.31,1.2,3.68,0.57,3.57,0.54,8.54,0.5
67.82,13.01,7.12,0.1,2.17,2.1,0.02,2.07,0.81,0.08,370,12,15,102,17,27,52,17,130,109,33,287,13,111,39,74,2.31,1.91,2.74,91.91,163.9,19.04,74.96,13.33,1.91,10.94,1.79,9.03,1.6,4.8,0.68,4.41,0.66,11.21,0.5
