X,Y,Label,BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif
400368.02,2709428.35,1,221.0,119.44238,91.862946,213.76215,177.90726,95.87519,235.48793,160.25693,218.57143,176.2,90.38844,127.36455,102.43632,39.444458,97.51255,124.283035,74.3314
400391.86,2709297.44,1,221.0,114.5231,87.74372,210.0403,171.10867,89.11429,235.47762,160.25693,218.57143,175.95071,90.78062,126.82461,102.10483,39.51197,97.61557,124.39418,73.96898
400360.22,2709361.34,1,221.0,116.99471,89.76257,213.76215,177.90726,95.87519,235.48793,160.25693,218.57143,176.02507,90.5433,127.110954,102.21489,39.47291,97.539116,124.37023,74.1072
400347.06,2709291.3,1,221.0,114.5231,87.74372,213.22089,171.10867,89.11429,235.15578,160.25693,218.57143,175.95071,90.78062,126.82461,102.10483,39.51197,97.61557,124.39418,73.96898
400309.05,2709329.1,1,221.0,116.99471,87.08249,213.22089,189.0969,94.52313,235.15578,160.25693,218.57143,176.10632,90.991615,128.37117,103.33433,39.517986,97.805756,124.86291,74.808235
400201.11,2709429.53,1,221.0,120.03974,86.683334,206.61142,192.53018,107.713524,234.24567,160.25693,218.57143,176.4114,91.30015,129.75323,104.63433,39.582714,98.07708,125.304405,75.6295
400188.74,2709510.83,1,221.0,123.088684,86.683334,210.53468,174.32825,97.95315,234.88588,160.25693,218.57143,176.4114,91.30015,129.75323,104.63433,39.582714,98.07708,125.304405,75.6295
400163.26,2709529.78,1,221.0,123.088684,88.98652,210.53468,174.32825,97.95315,234.88588,160.25693,218.57143,176.75255,91.21562,129.87234,104.917175,39.58663,98.115395,125.13357,75.90011
400125.16,2709554.96,1,221.0,123.088684,86.54987,214.13266,198.06119,106.80936,233.16913,160.25693,218.57143,176.75255,91.21562,129.87234,104.917175,39.58663,98.115395,125.13357,75.90011
391453.48,2703221.81,1,153.0,17.105919,84.180046,202.51486,169.0449,116.23979,234.08614,226.77866,241.33928,191.00972,95.94188,126.16233,82.7919,37.714447,94.6748,108.796455,87.2599
400129.54,2709655.83,1,221.0,125.57293,91.3582,217.47696,169.31248,108.06341,231.54631,168.32016,218.57143,177.20734,91.2101,129.9094,105.27894,39.608032,98.20354,124.887634,76.23231
375353.28,2774708.29,1,204.0,0.0,85.812126,207.19579,157.55437,103.33719,236.65552,208.63637,255.0,182.96526,121.30999,135.75655,114.062874,53.119923,120.291725,122.48937,79.55608
394373.21,2778571.46,1,0.0,222.08435,98.6,192.59648,193.23055,154.5801,232.01553,160.25693,232.23215,166.01372,96.66176,113.70484,85.25176,38.914413,99.57185,106.6725,71.45819
400217.08,2776859.99,1,153.0,0.0,4.8083262,201.42374,191.18874,140.90494,232.29504,192.50989,227.67857,163.57773,104.77094,94.43834,89.98473,47.8217,99.914,124.10604,66.15634
400217.08,2776859.99,1,153.0,0.0,4.8083262,201.42374,191.18874,140.90494,232.29504,192.50989,227.67857,163.57773,104.77094,94.43834,89.98473,47.8217,99.914,124.10604,66.15634
384151.84,2717148.32,1,136.0,28.509865,4.8083262,206.01141,132.69339,116.32153,228.77742,228.79446,154.82143,161.05148,83.38131,108.52218,73.89343,28.794476,86.146965,98.13148,88.7472
380249.57,2724869.82,1,153.0,77.55522,86.013954,201.38907,140.76282,117.34932,234.55188,240.88933,186.69643,183.22095,87.19041,119.63948,79.3155,37.635437,94.51404,103.84363,115.21581
