BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,Label
153.0,164.8255,80.60223,201.15887,178.14067,128.26207,233.62387,74.774506,152.76135,155.11707,81.71047,105.851105,69.012505,39.394463,84.17809,127.21997,1
153.0,164.09402,77.606445,201.15887,178.14067,128.26207,233.62387,74.76596,152.76135,155.11707,81.71047,105.851105,69.012505,39.394463,84.17809,127.21997,1
153.0,166.23967,76.026306,201.15887,171.94888,130.32002,233.62387,74.7804,152.88133,154.92635,81.22205,105.541084,69.01334,39.37439,83.78595,127.44483,1
153.0,171.15419,70.010284,201.76418,176.72539,133.09903,228.879,74.80467,152.76881,154.90663,80.55726,105.360596,69.54378,39.38561,83.30661,127.81957,1
153.0,171.15419,68.423676,201.0607,177.72406,132.7277,232.6964,74.765175,152.54094,154.90663,80.55726,105.360596,69.54378,39.38561,83.30661,127.81957,1
153.0,171.15419,68.423676,201.76418,177.72406,132.7277,228.879,74.765175,152.67506,154.90663,80.55726,105.360596,69.54378,39.38561,83.30661,127.81957,1
153.0,171.15419,68.423676,202.149,165.17107,120.38605,232.01839,74.765175,152.67506,155.07362,80.59012,105.496086,69.90412,39.410282,83.40046,127.81003,1
153.0,173.28746,68.423676,202.149,165.17107,120.38605,232.01839,74.8235,152.67506,155.07362,80.59012,105.496086,69.90412,39.410282,83.40046,127.81003,1
153.0,173.28746,63.8802,202.149,172.43872,128.05241,232.01839,74.8235,152.67506,154.9582,80.380486,105.353096,69.92089,39.396545,83.25307,127.840195,1
153.0,174.68896,63.8802,202.149,172.43872,128.05241,232.01839,74.8235,152.67506,154.9582,80.380486,105.353096,69.92089,39.396545,83.25307,127.840195,1
153.0,176.81635,63.8802,200.03777,172.43872,128.05241,234.7792,74.70065,152.45882,154.9582,80.380486,105.353096,69.92089,39.396545,83.25307,127.840195,1
153.0,173.28746,63.8802,200.03777,172.43872,128.05241,234.7792,74.8235,152.45882,154.9582,80.380486,105.353096,69.92089,39.396545,83.25307,127.840195,1
153.0,176.81635,62.4157,200.03777,165.864,140.01472,234.7792,74.70065,152.45882,154.87398,80.31425,105.30417,69.937874,39.383114,83.23254,127.74438,1
